"Observation URL","Observation Date",Latitude,Longitude,"Device Model","Astronomical  Constellation"
https://anecdata.org/posts/view/118474,"2020-09-12 19:53:00",30.311717,-95.671498,iphone,n/a
https://anecdata.org/posts/view/117981,"2020-08-28 05:40:00",48.132370,-122.785692,"LG - G8x",Polaris
https://anecdata.org/posts/view/117439,"2020-08-14 11:34:00",48.132455,-122.785864,"LG G8x","Ursa Major"
https://anecdata.org/posts/view/117437,"2020-08-14 11:04:00",48.132084,-122.785774,"LG - G8x","Ursa Major"
https://anecdata.org/posts/view/116798,"2020-07-28 06:07:13",35.294865,-119.000481,"Apple / iPhone12,3","Canes Venatici"
https://anecdata.org/posts/view/116541,"2020-07-18 06:00:00",37.180745,-113.020000,"Canon 6D Mark ii","Comet Neowise below Ursa Minor"
https://anecdata.org/posts/view/116330,"2020-07-15 14:50:00",38.925555,-94.387743,"Canon T7i","Summer Triangle"
https://anecdata.org/posts/view/116022,"2020-07-10 03:13:19",32.735290,-97.507781,"samsung / SM-G960U",Scorpuis
https://anecdata.org/posts/view/114137,"2020-06-18 02:24:01",44.877568,-72.566286,"Sony A7s",Starlink-7
https://anecdata.org/posts/view/114134,"2020-06-17 09:45:00",38.905451,-94.355536,"Starlink 13",Vega
https://anecdata.org/posts/view/112551,"2020-05-27 23:12:06",30.251457,-97.876518,"Apple / iPhone11,2","Ursa Major (?)"
https://anecdata.org/posts/view/112024,"2020-04-03 01:18:00",41.148611,-80.606389,"Canon T3, Celestron AVX mount, Celestron C8-N Newtonian","Ursa Major, M81 and M82"
https://anecdata.org/posts/view/111882,"2020-04-18 19:50:34",0.000000,0.000000,"HUAWEI / SNE-LX1",Gemini
https://anecdata.org/posts/view/109860,"2020-05-02 22:14:57",53.601130,-115.373408,"Nikon D5600","Ursa Major"
https://anecdata.org/posts/view/109859,"2020-05-02 22:13:09",53.588651,-115.399240,"Nikon D5600","Ursa Major"
https://anecdata.org/posts/view/109447,"2020-04-28 02:15:00",38.925555,-94.387743,"Canon T7i","Ursa Major-Bootes-leo"
https://anecdata.org/posts/view/109399,"2020-04-28 18:18:28",41.028055,29.018276,"Apple / iPhone12,1",Leo
https://anecdata.org/posts/view/109228,"2020-03-22 11:43:19",38.619862,-104.888382,"Nikon Z6, Sony FE 20mm f/1.8 G",Scorpius
https://anecdata.org/posts/view/109214,"2020-04-25 02:14:10",45.177999,-79.568895,"Apple / iPhone12,5","Starlink group 6 overhead tonight. Starting to seperate out more"
https://anecdata.org/posts/view/109134,"2020-04-24 04:59:26",48.132403,-122.786100,"GoPro Fusion","Ursa Major"
https://anecdata.org/posts/view/109114,"2020-04-21 09:10:00",35.681961,-78.742836,"ZWO ASI174MM",Lyra
https://anecdata.org/posts/view/109063,"2020-04-23 19:27:03",45.178018,-79.568850,"Apple / iPhone12,5","Picture of starlink last night from canada."
https://anecdata.org/posts/view/108926,"2020-04-20 19:02:15",50.988895,13.757881,"Scope: Meade 80mm ED-Triplet APO (80/480); Additional Lenses: TS-Optics 0.8x Reducer; Camera: ZWO ASI1600MC Pro cooled","Canes Venatici"
https://anecdata.org/posts/view/108925,"2020-04-22 21:20:00",53.472210,-2.223358,"Huwaei P30 Pro",Pisces
https://anecdata.org/posts/view/108922,"2020-04-21 20:06:00",51.387140,-0.378968,"iPhone 11Pro","Ursa Major"
https://anecdata.org/posts/view/108873,"2020-04-21 04:16:09",48.132324,-122.785889,"GoPro Fusion","Ursa Major"
