observation_url,id,row_id,username,license,license_url,lat,lng,geoprivacy,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,Telescope_aperture_in_inches,Eyepiece_focal_length_used_(millimeters),Object_being_photographed,Camera_F_stop_(e_g__1_7),Exposure_speed_(decimal_seconds),ISO_number,Upload_an_image,Device_Model,Image 1,Image 2,Image 3,Image 4
"https://www.anecdata.org/posts/view/118061","118061","289086","Meli","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",48.886448,8.686853,"false","","","2020-07-04 02:39:40+0000","Germany",null,"Baden-Württemberg","Pforzheim",null,"Telescope: Orion StarBlast II 4.5 EQ","4.5","10","Saturn","2.2","`0.0125","500","","HUAWEI / BLN-L21","/img/uploads/posts/_apu_1598902824_5f4d5228ca2fc1598902654669.jpg","/img/uploads/posts/_apu_1598902916_5f4d52847ae111598902906981.jpg","",""
"https://www.anecdata.org/posts/view/118060","118060","289085","Meli","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",48.886555,8.687074,"false","","","2020-07-19 21:44:07+0000","Germany",null,"Baden-Württemberg","Pforzheim",null,"Telescope: Orion StarBlast II 4.5 EQ
Out of focus","4.5","10","Comet C/2020 F3 (NEOWISE)","2.2","3.2","1600","","HUAWEI / BLN-L21","/img/uploads/posts/_apu_1598902566_5f4d5126c59251598902444939.jpg","","",""
"https://www.anecdata.org/posts/view/118059","118059","289084","Meli","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",48.886398,8.687033,"false","","","2020-07-26 19:41:35+0000","Germany",null,"Baden-Württemberg","Pforzheim",null,"Telescope: Orion StarBlast II 4.5 EQ","4.5","10","Moon","2.2","`0.02","50","","HUAWEI / BLN-L21","/img/uploads/posts/_apu_1598901984_5f4d4ee0d5e3d1598901973874.jpg","","",""
"https://www.anecdata.org/posts/view/108744","108744","267109","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.793,-83.858,"false","","","2020-04-19 03:11:18+0000","United States","Greene","Ohio",null,null,"Telescope: Celestron C11 HD Edge f/10 Schmidt-Cassegrain on a CGX-L CGEM tracking mount mount
Eyepiece: Televue Radian 18-mm, 60-degree AFOV
Magnification: 155x
Camera/Automatic Processing: Google Pixel 4XL
Exposure Time: 4 minute exposure (automatic selection)
Image Processing: Adobe Lightroom; Cropped image to incorporate only the pupil; maximized contract to blacken the background.","11","18","Messier 13 - Hercules Globular Cluster","1.7","16.00","804","","Google Pixel 4XL","/img/uploads/posts/24714-5e9be3f47a018.jpg","","",""
"https://www.anecdata.org/posts/view/108577","108577","266598","Walter","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",45.353164,9.127981,"false","","","2019-06-08 23:30:28+0000","Italy","Milan","Lombardy","Badile","`20084","","14","16","Jupiter","1.8","1/100s","200","","HUAWEI / SNE-LX1","/img/uploads/posts/24593-5e98428691ba71587036786433.jpg","","",""
"https://www.anecdata.org/posts/view/108576","108576","266597","Walter","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",45.353159,9.12807,"false","","","2019-06-09 01:05:15+0000","Italy","Milan","Lombardy","Badile","`20084","","14","16","Saturn","1.8","1/100s","200","","HUAWEI / SNE-LX1","/img/uploads/posts/24589-5e98414baa3651587036392526.jpg","","",""
"https://www.anecdata.org/posts/view/107965","107965","265185","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.793,-83.858,"false","","","2020-04-04 03:27:22+0000","United States","Greene","Ohio",null,null,"- The atmospheric seeing was excellent this evening to see fine features.
- The telescope used for this image was a Celestron C11 HD Edge f/10 SCT on a CGX-L GEM tracking mount.
- Used the Pixel 4XL's normal camera capability to produce the image.  Also applied a 1.6x optical zoom to get an image that did not show vignetting from the eyepiece pupil.  
- The final image was only flipped via image proccessing software to remove the image orientation produced by the optical system.","11","10","Moon - Craters: Plato and Archimedes; Mount Pico","1.7","`0.0116","80","","Google Pixel 4XL","/img/uploads/posts/24225-5e897fab6582b.jpg","","",""
"https://www.anecdata.org/posts/view/107964","107964","265184","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.792999,-83.858002,"false","","","2020-04-04 03:26:32+0000","United States","Greene","Ohio",null,null,"- The atmospheric seeing was excellent this evening to see fine features.
- The telescope used for this image was a Celestron C11 HD Edge f/10 SCT on a CGX-L GEM tracking mount.
- Used the Pixel 4XL's normal camera capability to produce the image.  Also applied a 1.6x optical zoom to get an image that did not show vignetting from the eyepiece pupil.  
- The final image was only flipped via image proccessing software to remove the image orientation produced by the optical system.","11","10","Moon - Sinus Iridum; Jura Mountains","1.7","`0.0313","97","","Google Pixel 4XL","/img/uploads/posts/24224-5e897f0347407.jpg","","",""
"https://www.anecdata.org/posts/view/107963","107963","265183","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.792999,-83.858002,"false","","","2020-04-04 03:24:49+0000","United States","Greene","Ohio",null,null,"- The atmospheric seeing was excellent this evening to see fine features.
- The telescope used for this image was a Celestron C11 HD Edge f/10 SCT on a CGX-L GEM tracking mount.
- Used the Pixel 4XL's normal camera capability to produce the image.  Also applied a 1.6x optical zoom to get an image that did not show vignetting from the eyepiece pupil.  
- The final image was only flipped via image proccessing software to remove the image orientation produced by the optical system.","11","10","Moon - Crater:  Copernicus and Reinhold; Carpathian Mountains","1.7","`0.020","64","","Google Pixel 4XL","/img/uploads/posts/24223-5e897e4cec1ca.jpg","","",""
"https://www.anecdata.org/posts/view/107962","107962","265182","orthdf","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",39.792999,-83.858002,"false","","","2020-04-04 03:24:12+0000","United States","Greene","Ohio",null,null,"- The atmospheric seeing was excellent this evening to see fine features.
- The telescope used for this image was a Celestron C11 HD Edge f/10 SCT on a CGX-L GEM tracking mount.
- Used the Pixel 4XL's normal camera capability to produce the image.  Also applied a 1.6x optical zoom to get an image that did not show vignetting from the eyepiece pupil.  
- The final image was only flipped via image proccessing software to remove the image orientation produced by the optical system.","11","10","Moon - Craters:  Kepler and Lansberg","1.7","`0.025","104","","Google Pixel 4XL","/img/uploads/posts/24222-5e897d443949a.jpg","","",""
